"nomor","kanji","onyomi-firugana","onyomi-kana","kunyomi-furigana","kunyomi-kana","arti"
"1","日","nichi, jitsu","ニチ, ジツ","hi, -bi, -ka","ひ, -び, -か","day, sun, Japan, counter for days"
"2","一","ichi","イチ","hito(tsu)","ひと(つ)","one"
"3","国","koku","コク","kuni","くに","country"
"4","人","jin, nin","ジン、 ニン","hito","ひと","person"
"5","年","nen","ネン","toshi","とし","year, counter for years"
"6","大","dai, tai","ダイ、 タイ","oo(kii)","おお(きい)","large, big"
"7","十","juu","ジュウ","tou, to","とお、 と","ten, 10"
"8","二","ni, ji","ニ、 ジ","futa(tsu)","ふた(つ)","two, 2"
"9","本","hon","ホン","moto","もと","book, present, true, counter for long cylindrical things"
"10","中","chuu","チュウ","naka, uchi, ata(ru)","なか、 うち、 あた(る)","in, inside, middle, mean, center"
"11","長","chou","チョウ","naga(i), osa","なが(い)、 おさ","long, leader, superior, senior"
"12","出","shutsu, sui","シュツ、 スイ","de(ru), da(su), i(deru)","で(る)、 だ(す)、 い(でる)","exit, leave, go out"
"13","三","san","サン","mi(tsu)","み(つ)","three, 3"
"14","時","ji","ジ","toki, doki","とき、 -どき","time, hour"
"15","行","kou, gyou, an","コウ、 ギョウ、 アン","i(ku), yu(ku), okona(u)","い(く)、 ゆ(く)、 おこな(う)","going, journey, carry out, line, row"
"16","見","ken","ケン","mi(ru), mi(seru)","み(る)、 み(せる)","see, hopes, chances, idea, opinion, look at, visible"
"17","月","getsu, gatsu","ゲツ、 ガツ","tsuki","つき","month, moon"
"18","分","bun, fun, bu","ブン、 フン、 ブ","wa(keru)","わ(ける)","part, minute of time, understand"
"19","後","go, kou","ゴ、 コウ","nochi, ushi(ro), ato","のち、 うし(ろ)、 あと","behind, back, later"
"20","前","zen","ゼン","mae","まえ","in front, before"
