kanji,onyomi,kunyomi,arti
安,An,Yasu-i,Murah
一,Ichi,Hito-Tsu,Satu
飲,In,No-Mu,Minum
右,"U, Yuu",Migi,Kanan
雨,U,Ame,Hujan
駅,Eki,–,Stasiun
円,En,Maru,Yen
火,Ka,Hi,Api
花,Ka,Hana,Bunga
下,"Ka, Ge","Shita, Kuda-Saru",Bawah
何,Ka,"Nani, Nan",Apa
会,Kai,A-U,Bertemu
外,"Gai, Ge",Soto,Diluar
学,Gaku,Mana-Bu,Belajar
間,Kan,"Ma, Aida",Interval
気,"Ki, Ke",–,Mood
九,Kyuu,Kokono-Tsu,Sembilan
休,Kyuu,Yasu-Mu,Istirahat
魚,Gyo,"Sakana, Uo",Ikan
金,Kin,Kane,Uang
空,Kuu,Sora,Langit
月,"Getsu, Gatsu",Tsuki,Bulan
見,Ken,Mi-Ru,Melihat
言,"Gen, Gon","Koto, I-U",Berkata
古,Ko,Furu-i,Lama/Kuno
五,Go,Itsu-Tsu,Lima
後,"Go, Kou","Ato, Ushi-Ro","Dibelakang, Setelah"
午,Go,–,Siang
語,Go,Kata-Ru,Bahasa
校,Kou,–,Sekolahan
口,Kou,Kuchi,Mulut
行,"Gyou, Kou","I-Ku, Okona-U","Pergi, Melaksanakan"
高,Kou,Taka-I,"Mahal, Tinggi"
国,Koku,Kuni,Negara
今,Kon,Ima,Sekarang
左,Sa,Hidari,Kiri
三,San,Mi-Tsu,Tiga
山,San,Yama,Gunung
四,Shi,Yo-Tsu,Empat
子,"Shi, Su",Ko,Anak
耳,Ji,Mimi,Telinga
時,Ji,Toki,Waktu
七,Shichi,Nana-Tsu,Tujuh
車,Sha,Kuruma,Mobil
社,Sha,Yashiro,Perusahaan
手,Shu,Te,Tangan
週,Shuu,–,Minggu
十,Juu,Tou,Sepuluh
出,Shutsu,"De-Ru, Da-Su",Keluar
書,Sho,Ka-Ku,Menulis
女,Jo,Onna,Perempuan
小,Shou,Chii-Sai,Kecil
少,Shou,Suku-Nai,Sedikit
上,Jou,"Ue, A-Garu",Atas
食,Shoku,Ta-Beru,Makan
新,Shin,Atara-Shii,Baru
人,"Jin, Nin",Hito,Orang
水,Sui,Mizu,Air
生,Sei,"I-Kiru, U-Mu","Hidup, Lahir"
西,"Sei, Sai",Nishi,Barat
川,Sen,Kawa,Sungai
千,Sen,Chi,Seribu
先,Sen,Saki,"Tadi, Ujung"
前,Zen,Mae,Sebelum
足,Soku,Ashi,Kaki
多,Ta,Oo-i,Banyak
大,"Dai, Tai",Oo-Kii,Besar
男,"Dan, Nan",Otoko,Laki-Laki
中,Chuu,Naka,Tengah
長,Chou,Naga-i,Panjang
天,Ten,Ama,Surga
店,Ten,Mise,Toko
電,Den,–,Listrik
土,"Do, To",Tsuchi,Tanah
東,Tou,Higashi,Timur
道,Dou,Michi,Jalan
読,Doku,Yo-Mu,Membaca
南,Nan,Minami,Selatan
二,Ni,Futa-Tsu,Dua
日,"Nichi, Jitsu","Hi, -Ka",Hari
入,Nyuu,Hai-Ru,Masuk
年,Nen,Toshi,Tahun
買,Bai,Ka-U,Membeli
白,Haku,Shiro-i,Putih
八,Hachi,Ya-Tsu,Delapan
半,Han,Naka-Ba,Separuh
百,Hyaku,–,Seratus
父,Fu,Chichi,Ayah
分,"Fun, Bun","Wa-Keru, Wa-Karu",Menit
聞,"Bun, Mon",Ki-Ku,Mendengar
母,Bo,Haha,Ibu
北,Hoku,Kita,Utara
木,"Moku, Boku",Ki,Pohon
本,Hon,Moto,"Asal, Buku"
毎,Mai,–,Setiap
万,"Man, Ban",–,Sepuluh Ribu
名,"Mei, Myou",Na,Nama
目,Moku,Me,Mata
友,Yuu,Tomo,Teman
来,Rai,Ku-Ru,Datang
立,Ritsu,Ta-Tsu,Berdiri
六,Roku,Mu-Tsu,Enam
話,Wa,"Hana-Su, Hanashi",Berbicara
